Name,Number,Position,Age,Height,Weight,Salary
Michael Kidd-Gilchrist,14.0,SF,22.0,6-7,232.0,6331404.0
Jeremy Lamb,3.0,SG,24.0,6-5,185.0,3034356.0
Courtney Lee,1.0,SG,30.0,6-5,200.0,5675000.0
Jeremy Lin,7.0,PG,27.0,6-3,200.0,2139000.0
Kemba Walker,15.0,PG,26.0,6-1,184.0,12000000.0
Marvin Williams,2.0,PF,29.0,6-9,237.0,7000000.0
Cody Zeller,40.0,C,23.0,7-0,240.0,4204200.0
Chris Bosh,1.0,PF,32.0,6-11,235.0,22192730.0
Luol Deng,9.0,SF,31.0,6-9,220.0,10151612.0
Goran Dragic,7.0,PG,30.0,6-3,190.0,14783000.0
Gerald Green,14.0,SF,30.0,6-7,205.0,947276.0
Udonis Haslem,40.0,PF,36.0,6-8,235.0,2854940.0
Joe Johnson,2.0,SF,34.0,6-7,240.0,261894.0
Tyler Johnson,8.0,SG,24.0,6-4,186.0,845059.0
Josh McRoberts,4.0,PF,29.0,6-10,240.0,5543725.0
Josh Richardson,0.0,SG,22.0,6-6,200.0,525093.0
Amar'e Stoudemire,5.0,PF,33.0,6-10,245.0,947276.0
Dwyane Wade,3.0,SG,34.0,6-4,220.0,20000000.0
Briante Weber,12.0,PG,23.0,6-2,165.0,2839073.0
Hassan Whiteside,21.0,C,26.0,7-0,265.0,981348.0
Justise Winslow,20.0,SF,20.0,6-7,225.0,2481720.0
Dorell Wright,11.0,SF,30.0,6-9,205.0,2839073.0
Dewayne Dedmon,3.0,C,26.0,7-0,245.0,947276.0
Evan Fournier,10.0,SG,23.0,6-7,205.0,2288205.0
Aaron Gordon,0.0,PF,20.0,6-9,220.0,4171680.0
Mario Hezonja,23.0,SG,21.0,6-8,218.0,3741480.0
Ersan Ilyasova,7.0,PF,29.0,6-10,235.0,7900000.0
Brandon Jennings,55.0,PG,26.0,6-1,169.0,8344497.0
Devyn Marble,11.0,SF,23.0,6-6,200.0,845059.0
Shabazz Napier,13.0,PG,24.0,6-1,175.0,1294440.0
Andrew Nicholson,44.0,PF,26.0,6-9,250.0,2380593.0
Victor Oladipo,5.0,SG,24.0,6-4,210.0,5192520.0
Elfrid Payton,4.0,PG,22.0,6-4,185.0,2505720.0
Jason Smith,14.0,PF,30.0,7-0,240.0,4300000.0
Nikola Vucevic,9.0,C,25.0,7-0,260.0,11250000.0
C.J. Watson,32.0,PG,32.0,6-2,175.0,5000000.0
Alan Anderson,6.0,SG,33.0,6-6,220.0,4000000.0
Bradley Beal,3.0,SG,22.0,6-5,207.0,5694674.0
Jared Dudley,1.0,SF,30.0,6-7,225.0,4375000.0
Jarell Eddie,8.0,SG,24.0,6-7,218.0,561716.0
Drew Gooden,90.0,PF,34.0,6-10,250.0,3300000.0
Marcin Gortat,13.0,C,32.0,6-11,240.0,11217391.0
JJ Hickson,21.0,C,27.0,6-9,242.0,273038.0
Nene Hilario,42.0,C,33.0,6-11,250.0,13000000.0
Markieff Morris,5.0,PF,26.0,6-10,245.0,8000000.0
Kelly Oubre Jr.,12.0,SF,20.0,6-7,205.0,1920240.0
Otto Porter Jr.,22.0,SF,23.0,6-8,198.0,4662960.0
Ramon Sessions,7.0,PG,30.0,6-3,190.0,2170465.0
Garrett Temple,17.0,SG,30.0,6-6,195.0,1100602.0
Marcus Thornton,15.0,SF,29.0,6-4,205.0,200600.0
John Wall,2.0,PG,25.0,6-4,195.0,15851950.0
Darrell Arthur,0.0,PF,28.0,6-9,235.0,2814000.0
D.J. Augustin,12.0,PG,28.0,6-0,183.0,3000000.0
Will Barton,5.0,SF,25.0,6-6,175.0,3533333.0
Wilson Chandler,21.0,SF,29.0,6-8,225.0,10449438.0
Kenneth Faried,35.0,PF,26.0,6-8,228.0,11235955.0
Danilo Gallinari,8.0,SF,27.0,6-10,225.0,14000000.0
Gary Harris,14.0,SG,21.0,6-4,210.0,1584480.0
Nikola Jokic,15.0,C,21.0,6-10,250.0,1300000.0
Joffrey Lauvergne,77.0,C,24.0,6-11,220.0,1709719.0
Mike Miller,3.0,SG,36.0,6-8,218.0,947276.0
Emmanuel Mudiay,0.0,PG,20.0,6-5,200.0,3102240.0
Jameer Nelson,1.0,PG,34.0,6-0,190.0,4345000.0
Jusuf Nurkic,23.0,C,21.0,7-0,280.0,1842000.0
JaKarr Sampson,9.0,SG,23.0,6-9,214.0,258489.0
Axel Toupane,6.0,SG,23.0,6-7,210.0,2839073.0
Nemanja Bjelica,88.0,PF,28.0,6-10,240.0,3950001.0
Gorgui Dieng,5.0,C,26.0,6-11,241.0,1474440.0
Kevin Garnett,21.0,PF,40.0,6-11,240.0,8500000.0
Tyus Jones,1.0,PG,20.0,6-2,195.0,1282080.0
Zach LaVine,8.0,PG,21.0,6-5,189.0,2148360.0
Shabazz Muhammad,15.0,SF,23.0,6-6,223.0,2056920.0
Adreian Payne,33.0,PF,25.0,6-10,237.0,1938840.0
Nikola Pekovic,14.0,C,30.0,6-11,307.0,12100000.0
Tayshaun Prince,12.0,SF,36.0,6-9,212.0,947276.0
Ricky Rubio,9.0,PG,25.0,6-4,194.0,12700000.0
Damjan Rudez,10.0,SF,29.0,6-9,230.0,1149500.0
Greg Smith,4.0,PF,25.0,6-10,250.0,2839073.0
Karl-Anthony Towns,32.0,C,20.0,7-0,244.0,5703600.0
Andrew Wiggins,22.0,SG,21.0,6-8,199.0,5758680.0
Steven Adams,12.0,C,22.0,7-0,255.0,2279040.0
Nick Collison,4.0,PF,35.0,6-10,255.0,3750000.0
Kevin Durant,35.0,SF,27.0,6-9,240.0,20158622.0
Randy Foye,6.0,SG,32.0,6-4,213.0,3135000.0
